Force_X,Force_Y,Force_Z,Torque_X,Torque_Y,Torque_Z
-0.31666262613664997,-1.130381569610405,-4.416583081103888,-0.04874780270682744,-0.2313602877119511,0.32892367048089355
-0.3953066750890748,-1.1046083496355008,-4.811857863881954,-0.01991709182585244,-0.225499548207641,0.3173042161984985
-0.043149987482208205,-0.6837254366247139,-6.179867939864696,0.18128953832253014,-0.20784180076410425,-0.021842810582920726
0.2002971356557495,0.026281042697026413,-7.231912004457192,0.26763864635311146,-0.14280997829144298,-0.15854253998905968
0.230958839696278,0.5858534556769573,-7.553408400519725,0.24435601126865497,-0.10413297413783486,-0.18489130781168456
-0.09539006098342384,0.9534298436782923,-8.167267263841563,0.19629965241885727,-0.08148033976235831,-0.21218734002937992
-0.47353977246081697,1.2150097924819727,-8.413837231488337,0.09457978469337952,-0.06343686298999117,-0.22737393047944823
-0.5512196523505337,0.9963659476058647,-8.87891998396783,-0.10401876934307674,-0.09629595103865458,-0.08069029718592124
-0.5090977294585293,0.7515406985773204,-9.095403663920928,-0.1572900758738352,-0.10208280985819364,0.060735170526904775
-0.344231635847216,0.8762234297285777,-9.323244055065313,-0.20692740239407698,-0.08155538979557699,0.12018169910021813
-0.6254898905384483,0.6953405072385754,-9.615260064647249,-0.34333722319888377,-0.04969886889664234,0.202825195301421
-0.7497986299173522,1.0685899779394403,-9.815169121588795,-0.24028211334354133,-0.045938409290584695,0.06647290505021028
-0.7426953436446868,1.3394478812594883,-9.838587637326611,-0.23577688368286515,-0.09139440835336506,0.03899678472060582
-0.8881958927035434,1.420714367238507,-9.9452284906722,-0.2137237323408725,-0.08470579913207198,-0.01573812547495636
-0.8123415022046394,1.7234503534614518,-9.656466978865184,-0.1035669418826888,-0.08431324182157172,-0.1256671907373918
-0.8141599018480603,1.6908105467347196,-10.017172885073405,-0.13996782228367657,-0.08024568614248807,-0.08982784498664541
-0.3059109164040802,1.4863893875815757,-9.687068511479605,-0.09609559694035358,-0.10567245840870566,-0.15027004480891512
-0.3255894418779165,1.7320029485196726,-9.383085667563797,-0.042867071749650126,-0.07441885366442531,-0.19825168062787465
-0.5872846027020857,1.7264077698612303,-9.116800075653536,0.03448484390899331,-0.05841347607449972,-0.2085587405688721
-1.0676061326651725,1.6466546816207641,-9.326117372586046,-0.10090508336576151,0.03147291912192514,-0.013817799372958624
-1.278924211557759,1.2709808362388109,-9.096166462612409,-0.28565592353841246,0.055827288620611086,0.13245267558150903
-1.4651691032420162,1.426164296305359,-9.228374205367572,-0.2847926193115973,0.06410476930474761,0.08017908778285639
-1.1255606639012359,1.666278996953229,-8.813387631365597,-0.21642982224538843,0.011835828390055356,0.01998511222217472
-1.1967255811589437,1.8991103006627115,-9.181175093854439,-0.16511347279569216,0.08112954029606084,-0.09025942729218349
-1.0895112572437795,2.0463711046220587,-9.236663589675391,-0.05291784787819137,0.1362918075249775,-0.16731109565391794
-1.0762517494934587,1.807320348810713,-9.232503103264932,-0.05949270768096809,0.11871819830276865,-0.09572504399440851
-1.192076676043423,1.7337908026473299,-9.279527712625224,-0.14416782071857467,0.13230607424288476,0.0444330555118429
-1.1965689725830688,1.7119740300892405,-9.144154010667695,-0.2627328027808369,0.1307202455909401,0.08796584212936981
-1.229405199051535,1.6564794175644075,-9.22992061316683,-0.23364011232948884,0.09850393507668365,0.01723365384003936
-1.2617897375188019,1.7925518327538517,-9.009953376050508,-0.09020609992427589,0.06388876396631764,-0.13553541204537098
-1.3608427212727414,2.039963029364112,-9.089783577488726,-0.05384047625157998,0.012288796450724504,-0.13713956829626578
